Type	Bottle	Treatment	Timecode	Days	Cumu_days	CH4_ppm	CO2_ppm	H2_ppm	dry_wt	CH4_ppm_perDayDrywt	CO2_ppm_perDayDrywt	H2_ppm_perDayDrywt
Marsh	M17	Anoxic	T1	4	3	0.00E+00	1.31E+03	2.11E+06	7.716	0.00E+00	5.65E+01	9.13E+04
Marsh	M18	Anoxic	T1	4	3	0.00E+00	1.49E+04	3.31E+06	7.56	0.00E+00	6.57E+02	1.46E+05
Marsh	M19	Anoxic	T1	4	3	0.00E+00	9.02E+02	6.77E+04	11.136	0.00E+00	2.70E+01	2.03E+03
Marsh	M20	Anoxic	T1	4	3	0.00E+00	9.83E+02	1.95E+06	8.046	0.00E+00	4.07E+01	8.09E+04
Marsh	M21	Anoxic	T1	4	3	0.00E+00	8.16E+03	2.72E+06	11.124	0.00E+00	2.45E+02	8.16E+04
Marsh	M22	Anoxic	T1	4	3	0.00E+00	1.10E+03	1.57E+06	6.846	0.00E+00	5.34E+01	7.67E+04
Marsh	M23	Anoxic	T1	4	3	0.00E+00	1.33E+03	5.40E+05	3.018	0.00E+00	1.47E+02	5.97E+04
Marsh	M24	Anoxic	T1	4	3	0.00E+00	2.00E+04	2.51E+07	6.99	0.00E+00	9.54E+02	1.20E+06
Marsh	M15	Anoxic	T2	7	3	0.00E+00	2.37E+05	2.67E+06	5.436	0.00E+00	1.45E-06	1.64E+05
Marsh	M20	Anoxic	T2	7	3	0.00E+00	3.55E+05	3.26E+06	8.046	0.00E+00	1.47E-06	1.35E+05
Marsh	M22	Anoxic	T2	7	3	0.00E+00	4.75E+05	5.66E+06	6.846	0.00E+00	2.32E-06	2.76E+05
Marsh	M23	Anoxic	T2	7	3	0.00E+00	6.56E+06	6.52E+05	3.018	0.00E+00	7.24E-07	7.20E+04
Marsh	M24	Anoxic	T2	7	3	0.00E+00	6.84E+06	2.78E+06	6.99	0.00E+00	3.26E-06	1.33E+05
Marsh	M13	Anoxic	T3	21	14	1.67E+04	2.13E+03	3.00E+06	6.006	1.98E+02	2.53E+01	3.57E+04
Marsh	M14	Anoxic	T3	21	14	2.40E+04	1.87E+04	4.33E+06	6.006	2.86E+02	2.23E+02	5.16E+04
Marsh	M15	Anoxic	T3	21	14	2.44E+04	9.29E+03	3.62E+06	5.436	3.21E+02	1.22E+02	4.76E+04
Marsh	M16	Anoxic	T3	21	14	4.76E+04	1.89E+04	5.55E+06	7.254	4.68E+02	1.86E+02	5.47E+04
Marsh	M17	Anoxic	T3	21	14	3.34E+04	1.22E+04	4.69E+06	7.716	3.10E+02	1.13E+02	4.34E+04
Marsh	M18	Anoxic	T3	21	14	1.91E+04	2.38E+03	1.99E+06	7.56	1.81E+02	2.24E+01	1.88E+04
