Bottle	Treatment	Timepoint	Days	Cum_days	H2_ppm	CH4_ppm	CO2_ppm
P1	oxic	T1	8	2	0	0	905.9633015
P2	oxic	T1	8	2	0	0	43268.85622
P2	oxic	T1	8	2	0	0	38464.39592
P1	anoxic	T1	8	2	0	0	23135.84209
P2	anoxic	T1	8	2	0	0	18163.04101
P3	anoxic	T1	8	2	0	0	14084.90353
P1	oxic	T2	15	4	0	0	85034.94403
P2	oxic	T2	15	4	0	0	51483.4309
P2	oxic	T2	15	4	0	0	69142.143
P1	anoxic	T2	15	4	12.432352	884.5672087	23530.334
P2	anoxic	T2	15	4	6.516352	966.7144578	23776.02836
P3	anoxic	T2	15	4	7.276864	973.0739639	22630.28165
P1	oxic	T3	21	6	0	0	69483.49515
P2	oxic	T3	21	6	0	0	79305.92117
P2	oxic	T3	21	6	0	0	74232.56607
P1	anoxic	T3	21	6	12.272824	3457.787851	24353.25716
P2	anoxic	T3	21	6	12.19408	3586.187632	23046.12635
P3	anoxic	T3	21	6	12.238144	3619.214828	23488.71224
P1	oxic	T4	29	3	0	0	60544.94267
P2	oxic	T4	29	3	0	0	71570.14545
P2	oxic	T4	29	3	0	0	72741.61401
P1	anoxic	T4	29	3	18.7333	3450.475528	14567.53273
P2	anoxic	T4	29	3	16.003168	3126.732522	13282.0057
P3	anoxic	T4	29	3	18.8812	3585.755547	14388.68122
P1	oxic	T5	38	10	0	0	62853.04775
P2	oxic	T5	38	10	0	0	74847.84436
P2	oxic	T5	38	10	0	0	66154.03915
P1	anoxic	T5	38	10	17.496448	8683.905939	15838.30991
P2	anoxic	T5	38	10	12.503752	7063.826171	21450.27133
P3	anoxic	T5	38	10	14.065984	7206.831	22051.39853
P1	oxic	T6	45	17	0	0	79476.5877
P2	oxic	T6	45	17	0	0	86295.65796
P2	oxic	T6	45	17	0	0	85448.9956
P1	anoxic	T6	45	17	13.094944	10784.68349	26380.33691
P2	anoxic	T6	45	17	11.343808	11414.74696	31905.70799
P3	anoxic	T6	45	17	10.64776	11306.61164	31913.33036
P1	oxic	T7	52	24	0	0	76942.73019
P2	oxic	T7	52	24	0	0	79124.75573
P2	oxic	T7	52	24	0	0	76317.93035
P1	anoxic	T7	52	24	13.37542545	15762.9039	41452.57819
P2	anoxic	T7	52	24	11.71523636	15825.40808	41405.6935
P3	anoxic	T7	52	24	11.39662545	15888.58406	40620.90444
P1	oxic	T8	59	31	9.769076364	841.7517191	75951.36594
P2	oxic	T8	59	31	9.141498182	855.9088603	79414.28793
P2	oxic	T8	59	31	7.132469091	935.5818603	72500.317
P1	anoxic	T8	59	31	8.661356364	15514.51163	35180.88743
P2	anoxic	T8	59	31	3.013709091	15403.89843	36559.58439
P3	anoxic	T8	59	31	6.111912727	16052.63846	39320.36776
P1	oxic	T9	66	38	10.45748364	2652.039421	80446.29164
P2	oxic	T9	66	38	8.218676364	2620.809804	81240.07866
P2	oxic	T9	66	38	6.859665455	2751.432498	76338.36832
P1	anoxic	T9	66	38	5.999341818	20155.85479	48622.34907
P2	anoxic	T9	66	38	4.914618182	19711.44106	44667.08227
P3	anoxic	T9	66	38	5.871563636	19619.59399	45734.08287
P1	oxic	T10	95	67	6.908625455	16266.60497	113098.1014
P2	oxic	T10	95	67	7.773214545	16584.60676	118815.0408
P2	oxic	T10	95	67	7.749847273	17259.46953	116749.7401
P1	anoxic	T10	95	67	7.251901818	43866.38519	80865.9544
P2	anoxic	T10	95	67	6.108945455	43921.59484	84716.66433
P3	anoxic	T10	95	67	5.880465455	43188.21262	86386.05559
