Bottle	Type	Treatment	Timepoint	pH	DryWeight_g	total_DryWt_g	LOI_OM_perc	Fe_II_uM	Phenolics_mg_ml	CH4_day_gDW	CO2_day_gDW	H2_day_gDW	C_N	NO2_N	NO3_N	SO4_S
P-A	Peat	Init	T0	4.6	0.0152	0.912	90.79	0.87	0.493333333	0	0	0	NA	BDL	BDL	7.494688018
P-B	Peat	Init	T0	4.6	0.0192	1.152	92.71	0.87	0.493333333	0	0	0	NA	BDL	BDL	7.494688018
P-C	Peat	Init	T0	4.6	0.0229	1.374	90.39	0.87	0.493333333	0	0	0	NA	BDL	BDL	7.494688018
P1	Peat	Oxygen-shifted	T9	4.76	0.0296	1.776	106.76	0.921403509	1.940217391	681.2069053	494.0050463	0	22.60483517	BDL	BDL	1.215197126
P2	Peat	Oxygen-shifted	T9	4.98	0.0244	1.464	104.51	0.86877193	1.759057971	1003.623153	706.0027465	0	21.11327713	BDL	BDL	1.214108028
P3	Peat	Oxygen-shifted	T9	4.84	0.0281	1.686	106.41	0.872280702	1.976449275	368.5715859	478.1480304	0	21.95424837	BDL	1.667487813	1.226481609
P4	Peat	Oxygen-shifted	T8	5.28	0.0444	2.664	84.01	0.974867725	12.3280303	431.301195	508.5151274	0	22.01939532	BDL	1.756235348	1.251175537
P5	Peat	Oxygen-shifted	T8	5.18	0.0428	2.568	81.78	1.014550265	1.843181818	343.7347575	428.6402532	0	20.75234192	BDL	BDL	1.188448297
P6	Peat	Oxygen-shifted	T8	5.26	0.0399	2.394	80.95	1.032186949	8.881060606	364.9828735	472.4035591	0	21.2677497	BDL	0.691435656	1.250058213
P7	Peat	Oxygen-shifted	T3	4.54	0.0221	1.326	90.05	0.984349703	2.047727273	49.81858816	3304.008685	245739.2687	22.42467378	BDL	0.688819867	1.238403504
P8	Peat	Oxygen-shifted	T3	4.65	0.0407	2.442	93.37	0.981651376	1.206818182	0	1060.814601	94337.53201	24.17179338	BDL	BDL	1.306819675
P9	Peat	Oxygen-shifted	T3	4.64	0.0317	1.902	97.16	0.827846735	1.108333333	0	1597.51969	180928.9061	22.85972061	BDL	1.846822072	1.317790363
P10	Peat	Oxygen-shifted	T2	4.05	0.0216	1.296	183.8	0.357727738	0.419090909	0	8434.88022	1294821.728	22.6297619	BDL	0.689586594	12.70996432
P11	Peat	Oxygen-shifted	T2	3.99	0.0496	2.976	98.59	0.350051177	0.337272727	0	5962.166513	642513.1228	23.54876543	BDL	BDL	11.52910193
P12	Peat	Oxygen-shifted	T2	4.03	0.0504	3.024	94.64	0.311668373	0.337272727	0	6998.304341	1351584.685	22.98918269	BDL	BDL	11.53602139
P13	Peat	Anoxic	T9	5.13	0.0356	2.136	94.1	0.900350877	2.320652174	451.3622277	263.7178607	0	21.73629082	BDL	BDL	1.201095975
P14	Peat	Anoxic	T9	5	0.031	1.86	84.52	0.944210526	2.266304348	938.0936849	449.0534465	0	23.43464858	BDL	1.729601058	1.21658419
P15	Peat	Anoxic	T9	6.22	0.0306	1.836	91.83	0.86877193	NA	927.4363131	448.284961	0	22.30891331	BDL	BDL	1.213294842
P16	Peat	Anoxic	T8	5.4	0.0392	2.352	80.36	1.005731922	8.115909091	661.864912	590.195342	0	22.227623	BDL	0.688808647	1.26336221
P17	Peat	Anoxic	T8	5.25	0.0407	2.442	80.84	0.972663139	11.50984848	520.7056263	457.6372389	0	22.98404908	NA	NA	NA
P18	Peat	Anoxic	T8	5.17	0.0387	2.322	87.34	0.89329806	5.05530303	730.0568304	646.1084888	0	23.14743202	BDL	BDL	1.290891645
P19	Peat	Anoxic	T3	4.75	0.0322	1.932	90.99	0.84133837	4.093181818	1757.332028	1923.735228	243530.3912	24.11022167	BDL	0.693658083	1.246524677
P20	Peat	Anoxic	T3	4.42	0.024	1.44	89.17	0.976254722	4.070454545	1751.804829	1333.188559	174234.7228	22.69417476	BDL	1.697846055	1.336136591
P21	Peat	Anoxic	T3	4.84	0.0261	1.566	78.16	0.973556395	4.706818182	572.5147143	4072.905708	265090.5329	22.56422569	BDL	BDL	1.28646604
P22	Peat	Anoxic	T2	4.76	0.0521	3.126	121.31	0.936028659	4.487121212	14411.1632	1786.034871	1244434.48	23.08873929	BDL	BDL	1.231820399
P23	Peat	Anoxic	T2	4.7	0.0629	3.774	107.79	1.030706244	4.275	1890.844819	812.5573894	25432.33522	NA	BDL	BDL	1.186230265
P24	Peat	Anoxic	T2	4.64	0.0355	2.13	189.58	1.015353122	4.275	9932.8811	2254.954337	1775687.53	21.57942238	BDL	BDL	1.223755068
M-A	Marsh	Init	T0	6.09	0.0887	5.322	20.74	1.108815427	0.299393939	0	0	0	NA	BDL	0.701934976	2.296820433
M-B	Marsh	Init	T0	6.09	0.0912	5.472	23.36	1.108815427	0.299393939	0	0	0	NA	BDL	0.701934976	2.296820433
M-C	Marsh	Init	T0	6.09	0.0918	5.508	25.38	1.108815427	0.299393939	0	0	0	NA	BDL	0.701934976	2.296820433
M1	Marsh	Oxygen-shifted	T9	6.25	0.1202	7.212	19.55	5.414385965	0.436594203	136.7878273	78.80334642	0	13.70230494	BDL	1.768148403	1.215598352
M2	Marsh	Oxygen-shifted	T9	6.35	0.1146	6.876	20.68	5.014385965	0.436594203	216.6138716	119.9975626	0	14.20588235	BDL	1.825604318	1.214477516
M3	Marsh	Oxygen-shifted	T9	6.37	0.1203	7.218	20.12	5.814385965	0.436594203	115.5392574	68.69075877	0	14.09640523	BDL	BDL	1.181357312
M4	Marsh	Oxygen-shifted	T8	6.25	0.1487	8.922	19.17	8.084656085	1.085606061	69.06267422	16.65228186	0.839669863	14.52207294	BDL	1.93068853	1.209019894
M5	Marsh	Oxygen-shifted	T8	6.5	0.1219	7.314	18.38	4.835097002	1.214393939	172.8160816	174.8475298	0	13.13592233	BDL	BDL	1.193021798
M6	Marsh	Oxygen-shifted	T8	6.49	0.1243	7.458	18.74	6.431216931	1.025	74.81010165	18.53927261	0.974735911	13.22544283	BDL	0.687226294	1.175593606
M7	Marsh	Oxygen-shifted	T3	6.26	0.1138	6.828	24.08	5.296276309	3.684090909	6.749346176	340.3205383	3470.765534	13.91276252	BDL	BDL	3.633717181
M8	Marsh	Oxygen-shifted	T3	6.27	0.1007	6.042	24.93	5.296276309	0.775	0	448.5315768	3844.749542	13.55882353	BDL	BDL	4.269532746
M9	Marsh	Oxygen-shifted	T3	6.3	0.0954	5.724	23.38	5.296276309	1.449242424	0	379.5273179	5047.769376	13.3429878	NA	NA	NA
M10	Marsh	Oxygen-shifted	T2	5.76	0.2351	14.106	16.46	0.80296827	0.325151515	0	1.08E-05	168763.1145	14.55351171	BDL	3.448711728	4.303769553
M11	Marsh	Oxygen-shifted	T2	5.77	0.2083	12.498	18.53	0.651995906	0.719090909	0	1.43E-05	142376.4509	13.60031847	BDL	1.657067355	4.292933543
M12	Marsh	Oxygen-shifted	T2	5.71	0.2746	16.476	17.48	0.738996929	0.337272727	0	1.12E-06	7589.750836	13.37019231	BDL	2.974064738	4.945669542
M13	Marsh	Anoxic	T9	6.31	0.1001	6.006	21.98	4.84245614	0.346014493	162.7153964	73.03946509	0	13.83031301	BDL	BDL	1.151518867
M15	Marsh	Anoxic	T9	6.33	0.0906	5.436	20.64	4.467017544	0.346014493	278.4363009	129.1726373	0	13.88962109		BDL	1.157852514
M16	Marsh	Anoxic	T8	6.59	0.1209	7.254	20.1	5.412698413	1.206818182	134.8652372	64.24936072	0	13.0775076	BDL	0.69511269	1.168265113
M17	Marsh	Anoxic	T8	6.47	0.1286	7.716	20.61	5.547178131	1.115909091	47.01432654	12.34633986	0.729528235	13.38753799	BDL	BDL	1.151170478
M18	Marsh	Anoxic	T8	6.53	0.126	7.56	17.38	5.895502646	1.138636364	174.9874116	133.8424279	0	13.46304676	BDL	BDL	1.143892054
M19	Marsh	Anoxic	T3	6.47	0.1856	11.136	20.2	5.757690232	1.684090909	215.3436085	156.5887763	0	13.59768212	BDL	BDL	1.126572449
M20	Marsh	Anoxic	T3	6.5	0.1341	8.046	22.07	5.050728548	1.229545455	104.4722937	11.36024821	22857.30081	13.70677966	BDL	BDL	1.133035119
M21	Marsh	Anoxic	T3	6.64	0.1854	11.124	17.21	4.859147329	1.456818182	0	183.4114459	61196.67663	13.32282282	BDL	BDL	1.148604735
M22	Marsh	Anoxic	T2	6.22	0.2522	15.132	18.79	3.223643808	1.458972727	0	2.32E-06	275783.4955	NA	BDL	0.686694809	1.140856807
M23	Marsh	Anoxic	T2	6.27	0.1999	11.994	22.21	3.497441146	2.100757576	0	7.24E-07	71985.9629	13.13162119	BDL	0.699410745	1.148558476
M24	Marsh	Anoxic	T2	6.36	0.2286	13.716	20.34	4.756397134	1.562878788	0	3.26E-06	132685.3863	13.5557377	BDL	0.705213608	1.692239223
S-A	Saltmarsh	Init	T0	6.25	0.0692	4.152	32.08	1.166	0.278181818	0	0	0	NA	NA	NA	NA
