wetland	bins	metaG_T0	metaG_T1_anoxic	metaG_T2_anoxic	metaG_T3_anoxic	metaG_T4_anoxic	metaG_T1_oxic	metaG_T2_oxic	metaG_T3_oxic	metaG_T4_oxic	metaT_T0	metaT_T1_oxic	metaT_T2_oxic	metaT_T1_anoxic	metaT_T2_anoxic	GC_content	Completeness	Contamination	Strain heterogeneity	domain	phylum	class	order	family	genus	species
peat	bin_1	2381.34	4710.633334	3795.486667	12159.95333	14596.54667	2225.766667	1641.1	14430.90667	17500.52667	344.9133333	606.72	729.6866667	238.6066667	399.7533333	55.45301154	61.88	4.16	33.33	d__Bacteria	p__Patescibacteria	c__ABY1	o__CAIQCM01	f__CAIQCM01	g__	s__
peat	bin_10	177737.46	351125.6267	233066.1067	104933.9867	99161.11333	147929.0133	140465.0467	108816.7133	112099.02	300153.68	268199.4933	304071.78	233143.7333	384461.2	57.78845787	72.91	6.71	91.67	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Gallionellaceae	g__Gallionella	s__
peat	bin_100	15081.2	66310.92	85870.50667	65834.14	10085.84667	31449.18	24683.57333	20646.64	8995.773333	971.4733333	2288.586667	3417.98	2646.32	1255.406667	69.02404508	56.33	2.67	37.5	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Streptosporangiales	f__Streptosporangiaceae	g__JAJYUU01	s__
peat	bin_101	7708.467	83745.42001	201156.7933	66299.05333	34213.48667	22840.16667	55771.68667	102023.6733	55033.47333	15290.51333	65732.41333	139068.7067	93136.56	75780.4	71.04990637	84.05	3.85	20	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-465	s__
peat	bin_102	88.927	179.5933355	159.2933333	68665.72	26050.80667	59.92	51.92666667	127480.5733	16960.22	6885.78	9419.446667	10852.79333	6528.586667	11459.08667	50.60521388	65.28	0	0	d__Bacteria	p__Patescibacteria	c__ABY1	o__SBBC01	f__CAIJZX01	g__	s__
peat	bin_103	4651.887	3417.566673	673.2466667	41213.95333	115416.82	811.5066667	215.4733333	52667.91333	92358.78667	10659.72	5277.666667	6249.82	3670.813333	5681.1	48.22581877	62.58	2.9	40	d__Bacteria	p__Desulfobacterota	c__Syntrophia	o__Syntrophales	f__PHBD01	g__	s__
peat	bin_104	18157.36	56690.33999	53429.91333	35130.83333	19844.42	45576.18	52704.06	33969.9	33098.92667	4733.36	13465.51333	15449.77333	6888.346667	9654.386667	56.51806599	85.47	0.85	0	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__JAJPJE01	g__JAJPJE01	s__
peat	bin_105	44841.587	59917.02667	36439.12	40091.42667	22491.15333	4992.693333	1489.733333	10053.18	1286.573333	23066.46667	8618.04	5907.853333	45256.04	27109.39333	39.11395677	79.34	1.53	50	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__Paludibacter	s__
peat	bin_106	31.327	3.020002037	16.22666667	48858.46	14758.71333	14.33333333	11.96666667	78461.7	26504.46	1068.72	554.12	502.9933333	386.36	1014.586667	31.06402075	77.57	5.61	0	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__UBA10107	g__UBA10107	s__
peat	bin_107	23333.387	40527.86667	8146.28	4806.66	4263.2	6867.706667	3994.173333	4397.306667	4070.766667	2313.933333	1251.013333	1439.84	1137.046667	1187.56	45.92750272	64.53	2.83	0	d__Bacteria	p__Nitrospirota	c__Thermodesulfovibrionia	o__Thermodesulfovibrionales	f__SM23-35	g__	s__
peat	bin_108	4921.747	10161.2	10687.22667	148352.1067	164212.3133	3233.506667	4185.066667	173812.5533	115261.7	28763.14	44323.49333	98125.06	74356.7	75569.7	68.06763514	90.95	4.6	14.29	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__UBA2241	f__UBA2241	g__FEN-672	s__
peat	bin_109	13182.96	35757.94667	36515.73333	5123.58	2943.14	43581.17333	24583.6	12950.13333	5572.96	464.0333333	3753.986667	4255.56	2269.953333	1293.973333	70.34369383	60.06	0.12	100	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__Palsa-739	s__
peat	bin_11	3979.567	11854.68001	6398.113333	103117.5267	106867.64	2209.966667	1501.3	95165.05333	91024.89333	242.7866667	145.5133333	390.8466667	1695.38	661.5133333	33.86335587	90.89	3.6	80	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium_A	s__
peat	bin_110	9.547	8.733333079	8.373333333	1247.666667	41557.25333	5.026666667	3.66	782.86	972.7666667	0.933333333	1.533333333	1.113333333	2.993333333	2.16	39.35624059	68.25	2.45	50	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__GWA1-40-21	g__Bog-1340	s__
peat	bin_111	9943.107	17476.29999	23354.26	24466.37333	67249.5	8495.013333	5089.086667	26220.86667	19350.56667	17681.18667	20891.93333	25158.22667	9332.073333	21663.08667	68.5397677	51.65	3.8	16.67	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Fen-181	g__FEN-299	s__
peat	bin_112	142.033	234.0000007	160.8133333	14673.21333	6488.733333	45.4	42.10666667	45883.93333	71305.24	81	62.5	86.12666667	76.89333333	210.02	51.74073578	87.64	3.88	77.78	d__Bacteria	p__FCPU426	c__Palsa-1180	o__Palsa-1180	f__Palsa-1180	g__	s__
peat	bin_113	12749.707	29561.26	19847.58667	4122.693333	3079.253333	175476.7733	118210.0333	51320.13333	57677.18	6691.26	53887.08667	63757.64667	10311.3	8647.346667	68.69387096	71.72	8.62	71.43	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__CAIUMH01	s__
peat	bin_114	3506.287	1469.133322	825.9133333	852574.3667	816331.6267	328.0333333	211.4	2190.826667	445.4066667	1247.533333	412.6333333	238.9	960.4266667	3627.626667	35.05523383	95.08	2.73	0	d__Bacteria	p__Bacteroidota	c__	o__	f__	g__	s__
peat	bin_115	489.987	769.8333318	305.8533333	4314.46	33857.53333	196.88	111.1866667	1926.566667	2358.306667	3310.186667	2876.08	2783.353333	2958.613333	4815.52	45.12341757	66.86	2.25	50	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__Zambryskibacteraceae	g__CAIOTC01	s__
peat	bin_116	20264.98	42081.96666	38557.28	2184.066667	1150.013333	45379.36	28854.3	5652.666667	2804.906667	247.9266667	696.3266667	588.4866667	476.3533333	248.28	67.45864225	51.69	1.85	25	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__IMCC26256	f__PALSA-610	g__	s__
peat	bin_117	37899.12	63658.17332	31820.24	17367.32667	30996.72	26196.94667	19737.94	43954.4	42177.24667	34432.88667	29716.98667	46440.27333	22243.46667	40373.56	62.97704391	67.9	5.22	14.29	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Bryobacterales	f__Bryobacteraceae	g__CAIVVT01	s__
peat	bin_118	12013.167	32265.81332	31603.13333	31574.51333	48737.66667	14803.18667	16504.2	49846.46667	44454.62	5161.346667	3831.166667	5223.646667	6093.533333	3555.933333	59.47998554	51.35	3.87	14.29	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__Thermoguttaceae	g__JADLEL01	s__
peat	bin_119	8165.113	28551.00667	20858.01333	243953.1133	169132.6667	4870.22	3487.22	187941.66	179878.54	476.32	644.8733333	801.8466667	5418.9	2182.806667	35.52973841	61.75	1.2	100	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium_A	s__
peat	bin_12	14394.007	29231.86668	27131.98667	32392.66667	36394.14667	11268.51333	13734.21333	61779.20667	31352.56	321.18	774.12	1706.52	1221.793333	843.5533333	68.5339824	78.9	3.42	50	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Palsa-688	g__Fen-671	s__
peat	bin_120	3839.787	49345.33333	86173.29333	64338.59333	14702.26	13420.57333	26271.02	33501.30667	14205.3	179.2066667	348.76	382.4466667	1063.806667	356.4933333	61.93471957	74.18	2.06	44.44	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__BOG-931	s__
peat	bin_121	3210.113	4328.700006	5967.593333	3190171.627	4724532.647	1527.2	831.9266667	1465249.773	352097.3133	39030.94	81185.09333	87245.95333	63094.56	168779.8267	39.81343056	92.2	5.38	54.55	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prolixibacteraceae	g__UBA6024	s__
