wetland	bins	bin_length	num_contigs	N50	GC_content	Completeness	Contamination	Strain heterogeneity	domain	phylum	class	order	family	genus	species	metaG_T0_rpkm	metaG_anoxicT1_rpkm	metaG_anoxicT2_rpkm	metaG_anoxicT3_rpkm	metaG_anoxicT4_rpkm	metaG_oxicT1_rpkm	metaG_oxicT2_rpkm	metaG_oxicT3_rpkm	metaG_oxicT4_rpkm	metaT_T0_RPKM	metaT_oxicT1_rpkm	metaT_oxicT2_rpkm	metaT_anoxicT1_rpkm	metaT_anoxicT2_rpkm
Peat	bin_1	1034638	127	9877	55.45301154	61.88	4.16	33.33	d__Bacteria	p__Patescibacteria	c__ABY1	o__CAIQCM01	f__CAIQCM01	g__	s__	0.022	0.021	0.021	0.103	0.109	0.019	0.015	0.095	0.124	0.0019	0.0039	0.0036	0.0014	0.0020
Peat	bin_10	1947693	335	6526	57.78845787	72.91	6.71	91.67	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Gallionellaceae	g__Gallionella	s__	0.875	0.842	0.674	0.472	0.393	0.672	0.690	0.381	0.421	0.8888	0.9116	0.8071	0.7416	0.9975
Peat	bin_100	3793414	777	5208	69.02404508	56.33	2.67	37.5	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Streptosporangiales	f__Streptosporangiaceae	g__JAJYUU01	s__	0.038	0.082	0.127	0.152	0.021	0.073	0.062	0.037	0.017	0.0015	0.0040	0.0047	0.0043	0.0017
Peat	bin_101	3923300	185	36848	71.04990637	84.05	3.85	20	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-465	s__	0.019	0.100	0.289	0.148	0.067	0.051	0.136	0.177	0.103	0.0225	0.1109	0.1833	0.1471	0.0976
Peat	bin_102	1116456	5	373872	50.60521388	65.28	0	0	d__Bacteria	p__Patescibacteria	c__ABY1	o__SBBC01	f__CAIJZX01	g__	s__	0.001	0.001	0.001	0.539	0.180	0.000	0.000	0.778	0.111	0.0356	0.0559	0.0503	0.0362	0.0519
Peat	bin_103	2056277	172	16729	48.22581877	62.58	2.9	40	d__Bacteria	p__Desulfobacterota	c__Syntrophia	o__Syntrophales	f__PHBD01	g__	s__	0.022	0.008	0.002	0.176	0.433	0.003	0.001	0.175	0.329	0.0299	0.0170	0.0157	0.0111	0.0140
Peat	bin_104	4604218	365	16272	56.51806599	85.47	0.85	0	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__JAJPJE01	g__JAJPJE01	s__	0.038	0.057	0.065	0.067	0.033	0.088	0.110	0.050	0.053	0.0059	0.0194	0.0173	0.0093	0.0106
Peat	bin_105	2624236	463	6379	39.11395677	79.34	1.53	50	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__Paludibacter	s__	0.164	0.107	0.078	0.134	0.066	0.017	0.005	0.026	0.004	0.0507	0.0217	0.0116	0.1068	0.0522
Peat	bin_106	948805	76	18546	31.06402075	77.57	5.61	0	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__UBA10107	g__UBA10107	s__	0.000	0.000	0.000	0.451	0.120	0.000	0.000	0.564	0.205	0.0065	0.0039	0.0027	0.0025	0.0054
Peat	bin_107	1705412	347	5199	45.92750272	64.53	2.83	0	d__Bacteria	p__Nitrospirota	c__Thermodesulfovibrionia	o__Thermodesulfovibrionales	f__SM23-35	g__	s__	0.131	0.111	0.027	0.025	0.019	0.036	0.022	0.018	0.017	0.0078	0.0049	0.0044	0.0041	0.0035
